idx,y
39,0.16410774
41,0.20961945
43,0.22444066
45,0.17243892
55,0.23083197
56,0.25076714
73,0.20639782
85,0.25010386
86,0.2616587
97,0.20849422
98,0.23825222
101,0.20662081
112,0.10886064
117,0.26530334
121,0.27080908
137,0.11752945
148,0.15825793
154,0.17787026
162,0.14242356
165,0.21026534
174,0.16326632
176,0.23008563
181,0.17258129
184,0.16484334
199,0.18516903
206,0.22063716
216,0.18937263
221,0.16486895
226,0.05895943
227,0.572979
230,0.14383116
234,0.05790512
256,0.31475145
260,0.32122034
269,0.20902544
282,0.062662005
286,0.17474978
300,0.1562513
304,0.36954173
310,0.14913766
318,0.06455828
319,0.15578309
322,0.2241091
329,0.17636278
332,0.105806544
342,0.2265287
364,0.18420409
377,0.09142687
385,0.18916275
388,0.08546859
397,0.12173733
398,0.12590414
403,0.3601109
405,0.25920957
408,0.076375104
410,0.34617105
413,0.13615817
417,0.2301096
420,0.15772603
422,0.21852253
423,0.08849416
426,0.25514188
432,0.21915151
436,0.17623329
443,0.1509734
454,0.2032245
455,0.069903605
461,0.1946551
467,0.09709332
468,0.20609024
474,0.15135626
477,0.18165846
478,0.064153336
486,0.10035919
489,0.1645296
490,0.17537475
495,0.34378228
499,0.40965858
510,0.17625356
511,0.24151105
515,0.07816833
518,0.26372123
519,0.2649649
533,0.13474613
548,0.1360972
564,0.19001926
582,0.19142643
584,0.081712596
592,0.28306115
593,0.20815189
595,0.06700382
596,0.25100717
598,0.49450117
600,0.23797713
605,0.18348823
609,0.30179536
611,0.13567412
613,0.07241157
623,0.17974953
626,0.12189841
627,0.3547508
631,0.25131008
644,0.20565939
652,0.2016741
662,0.11558782
666,0.13647516
668,0.30053148
672,0.0787803
674,0.13857767
675,0.025089199
677,0.1841423
679,0.07329959
682,0.26891857
691,0.34493148
698,0.19547884
702,0.07699134
711,0.17982467
714,0.13468336
716,0.18130742
717,0.100469805
718,0.12563795
722,0.038655296
735,0.1044769
738,0.11735609
747,0.19535922
748,0.13290697
749,0.1338228
750,0.15810014
759,0.33085415
763,0.14284767
770,0.26690704
774,0.20795721
790,0.17577088
792,0.1875073
795,0.04181142
797,0.2496414
804,0.19638294
809,0.26386142
813,0.33882606
821,0.22665454
831,0.096488416
844,0.093932025
846,0.5644106
850,0.13817756
853,0.07552261
856,0.22581369
862,0.13595846
869,0.16224879
874,0.2472712
881,0.23591372
882,0.15052043
891,0.14671327
897,0.27588442
906,0.173907
911,0.0975342
918,0.17548111
920,0.065383926
922,0.18104272
923,0.24529883
938,0.23530893
942,0.19522
947,0.12880623
957,0.10936061
966,0.09403648
972,0.11195481
980,0.05212184
981,0.18246786
983,0.30850378
988,0.120535165
990,0.23118085
992,0.16002831
997,0.131191
1001,0.1702933
1003,0.043679714
1024,0.15093882
1031,0.30695617
1032,0.31543195
1042,0.33838654
1043,0.19062442
1044,0.109415546
1050,0.20270294
1052,0.08018265
1053,0.11494938
1056,0.11126181
1072,0.1845222
1077,0.2209113
1078,0.18300886
1083,0.028304335
1088,0.122726925
1093,0.21529023
1099,0.18247187
1106,0.1917182
1109,0.031012138
1110,0.22591527
1113,0.17415446
1121,0.15719844
1125,0.120547935
1132,0.2016245
1136,0.043661058
1139,0.1407066
1140,0.12286441
1155,0.15328194
1156,0.08933001
1171,0.099563584
1174,0.20682302
1175,0.16848166
1178,0.2646296
1181,0.18910298
1203,0.2511237
1205,0.4093448
1216,0.3242688
1217,0.23924474
1227,0.15417612
1230,0.33405167
1233,0.20949678
1234,0.08663539
1237,0.10299088
1245,0.21356548
1260,0.10769546
1265,0.13061804
1268,0.08853227
1272,0.14680617
1276,0.27099413
1277,0.15465423
1287,0.1614871
1291,0.15163523
1302,0.13199903
1307,0.06822861
1308,0.1948429
1322,0.25996706
1325,0.2944721
1326,0.15372336
1327,0.15113299
1334,0.09298636
1340,0.05826378
1344,0.28012514
1347,0.10698201
1349,0.21777315
1353,0.08734128
1356,0.22318994
1357,0.14647622
1358,0.25122306
1359,0.19005398
1366,0.12036332
1367,0.30980766
1368,0.20264423
1371,0.10797944
1376,0.15784822
1377,0.15938674
1380,0.09194018
1389,0.20194453
1397,0.4491913
1398,0.23433094
1406,0.1319387
1412,0.20812021
1416,0.16281112
1426,0.27723405
1436,0.5369813
1440,0.06835501
1447,0.25875613
1448,0.089442
1478,0.21674202
1480,0.2342849
1486,0.218242
1506,0.22650138
1509,0.26703143
1515,0.3445097
1516,0.16661027
1521,0.15771799
1533,0.20399676
1547,0.17517164
1551,0.17579535
1552,0.2130581
1565,0.17922677
1568,0.4232078
1570,0.18344541
1576,0.24933138
1577,0.2785354
1583,0.1354207
1585,0.11683556
1592,0.18460442
1604,0.2739156
1612,0.13442297
1614,0.26958463
1619,0.06930967
1630,0.17323446
1653,0.17581019
1669,0.13431054
1676,0.111105904
1680,0.14086412
1686,0.098122254
1687,0.1530792
1688,0.24467774
1704,0.08074991
1714,0.19197328
1717,0.33304077
1719,0.24244198
1721,0.27980414
1726,0.06392302
1729,0.32331973
1731,0.10615424
1732,0.21900432
1758,0.13079911
1760,0.42922208
1761,0.32448605
1762,0.12266798
1767,0.17217065
1771,0.18972962
1778,0.35199523
1784,0.21230443
1790,0.16547126
1797,0.071556374
1798,0.3664213
1800,0.05755868
1802,0.28246346
1806,0.28564253
1819,0.032636743
1820,0.21237469
1821,0.09999937
1825,0.10215066
1829,0.14073111
1834,0.17201807
1840,0.17756343
1861,0.19717047
1880,0.06169129
1888,0.103633
1901,0.2662108
1902,0.11125573
1911,0.16988029
1920,0.13363676
1926,0.17561385
1943,0.25521216
1949,0.087699525
1959,0.22420144
1970,0.029677724
1974,0.041511044
1978,0.15996672
1984,0.18107513
1997,0.07206782
2005,0.1330286
2007,0.2707529
2011,0.29088816
2012,0.1746086
2013,0.10884069
2024,0.0687231
2026,0.25878128
2029,0.1623566
2040,0.206431
2042,0.08992501
2046,0.18647777
2052,0.096075274
2055,0.17278704
2062,0.026157403
2065,0.111247055
2089,0.1459318
2095,0.6886101
2100,0.112756714
2101,0.20695414
2102,0.1510336
2104,0.27894327
2108,0.0830582
2115,0.11058525
2124,0.19944826
2125,0.059065454
2128,0.09924888
2148,0.20143351
2153,0.13352703
2154,0.16946094
2162,0.11455198
2165,0.11799988
2169,0.17387433
2176,0.055546585
2186,0.20030767
2190,0.2009503
2193,0.20232268
2199,0.2660053
2207,0.20348504
2208,0.148039
2231,0.28725517
2238,0.27422544
2241,0.34550315
2248,0.17467333
2250,0.14524983
2260,0.21004228
2271,0.19017054
2277,0.18172462
