idx,y_pred
39,0.4158016
41,0.5468987
43,0.65897787
45,0.46510965
55,0.5953842
56,0.54015815
73,0.31760424
85,0.5263951
86,0.57412046
97,0.60231936
98,0.5277334
101,0.5335864
112,0.3447692
117,0.71602273
121,0.75801575
137,0.17858045
148,0.5147203
154,0.37231717
162,0.43785077
165,0.5067678
174,0.5583114
176,0.44723415
181,0.49481204
184,0.40978593
199,0.38647485
206,0.6799221
216,0.38305664
221,0.50138134
226,0.24940124
227,0.7024
230,0.37787092
234,0.21196224
256,0.5858892
260,0.72377384
269,0.51077896
282,0.14644976
286,0.56276757
300,0.340896
304,0.6477289
310,0.5593581
318,0.37386268
319,0.5515054
322,0.6008572
329,0.4517528
332,0.3386565
342,0.6503902
364,0.5028337
377,0.28475106
385,0.45188996
388,0.33679736
397,0.20391004
398,0.20434175
403,0.5940962
405,0.5613796
408,0.18141855
410,0.6717347
413,0.27455205
417,0.35615328
420,0.5553465
422,0.36468107
423,0.29258022
426,0.5094614
432,0.55293214
436,0.5981524
443,0.32245246
454,0.36986372
455,0.20477998
461,0.4592068
467,0.32243636
468,0.5135177
474,0.5203842
477,0.46459848
478,0.24930657
486,0.4474288
489,0.6170776
490,0.6244905
495,0.50064015
499,0.691347
510,0.5569927
511,0.59745514
515,0.26525655
518,0.62669355
519,0.5435427
533,0.43377316
548,0.33002865
564,0.5446148
582,0.5094943
584,0.46833456
592,0.5951292
593,0.3058698
595,0.18752962
596,0.5624922
598,0.83279413
600,0.47632265
605,0.36112827
609,0.42530772
611,0.43761817
613,0.5751564
623,0.42980757
626,0.36589614
627,0.72451055
631,0.6265723
644,0.4717808
652,0.5608591
662,0.42580864
666,0.37846988
668,0.61107296
672,0.26499406
674,0.5392897
675,0.058699433
677,0.5606587
679,0.3139969
682,0.68567055
691,0.5164711
698,0.56271595
702,0.14955407
711,0.4596497
714,0.44064924
716,0.582084
717,0.28444636
718,0.35521325
722,0.082422614
735,0.45934278
738,0.5596179
747,0.4013462
748,0.543227
749,0.23058356
750,0.32988912
759,0.5213203
763,0.39659977
770,0.67137516
774,0.3511705
790,0.37436074
792,0.30057266
795,0.22907747
797,0.23912898
804,0.58400387
809,0.48447192
813,0.70713276
821,0.5065808
831,0.34365344
844,0.20825045
846,0.8693805
850,0.23438641
853,0.29099005
856,0.49669147
862,0.52603227
869,0.40651903
874,0.45896924
881,0.5161625
882,0.25815076
891,0.3918272
897,0.60731435
906,0.36790508
911,0.20793667
918,0.4758196
920,0.39858255
922,0.5781954
923,0.68327385
938,0.3549572
942,0.5773365
947,0.5077505
957,0.47871798
966,0.31168854
972,0.28478122
980,0.034527022
981,0.53292733
983,0.6114366
988,0.55964965
990,0.49160787
992,0.48125172
997,0.298005
1001,0.53954935
1003,0.12549011
1024,0.3309438
1031,0.58486843
1032,0.67290115
1042,0.6934269
1043,0.5373875
1044,0.2726609
1050,0.5085158
1052,0.25084773
1053,0.304372
1056,0.40640566
1072,0.36131603
1077,0.5781451
1078,0.41711155
1083,0.1289421
1088,0.3492871
1093,0.7390951
1099,0.5672341
1106,0.32121193
1109,0.12842451
1110,0.49791968
1113,0.44417664
1121,0.40884832
1125,0.16427991
1132,0.5577785
1136,0.2002501
1139,0.46796393
1140,0.41630164
1155,0.51333123
1156,0.3046333
1171,0.26104602
1174,0.5274725
1175,0.553717
1178,0.61889386
1181,0.38172466
1203,0.46802372
1205,0.52493197
1216,0.7422812
1217,0.5506318
1227,0.40685776
1230,0.78935486
1233,0.56657135
1234,0.30815113
1237,0.37092102
1245,0.5506158
1260,0.26709968
1265,0.3426482
1268,0.29763025
1272,0.3831591
1276,0.53219235
1277,0.34113574
1287,0.4709521
1291,0.38296932
1302,0.4131936
1307,0.13355388
1308,0.3864795
1322,0.5544709
1325,0.59181815
1326,0.46487263
1327,0.57699174
1334,0.33147475
1340,0.27606308
1344,0.45128402
1347,0.3263588
1349,0.5799617
1353,0.16448107
1356,0.35476533
1357,0.25250947
1358,0.5685013
1359,0.39672706
1366,0.30219337
1367,0.61731315
1368,0.5650281
1371,0.4382483
1376,0.41170633
1377,0.44042104
1380,0.30803305
1389,0.35745266
1397,0.8241818
1398,0.53111583
1406,0.42677528
1412,0.44406
1416,0.44310823
1426,0.48995152
1436,0.66121507
1440,0.33580932
1447,0.4870837
1448,0.3607541
1478,0.35837707
1480,0.6501908
1486,0.5162152
1506,0.5475058
1509,0.5556396
1515,0.6235879
1516,0.3312552
1521,0.36028123
1533,0.55668336
1547,0.42450717
1551,0.48197174
1552,0.42433658
1565,0.6255863
1568,0.7576114
1570,0.44185373
1576,0.5568735
1577,0.52990097
1583,0.34131235
1585,0.2745486
1592,0.40057456
1604,0.57946575
1612,0.41805613
1614,0.6113274
1619,0.2616543
1630,0.57493293
1653,0.49761856
1669,0.33474958
1676,0.39668384
1680,0.49497363
1686,0.23564368
1687,0.42720583
1688,0.5177851
1704,0.21651217
1714,0.45899945
1717,0.62450427
1719,0.5431655
1721,0.6681444
1726,0.36188763
1729,0.6065434
1731,0.18220998
1732,0.54824376
1758,0.3705322
1760,0.749041
1761,0.69276655
1762,0.40794322
1767,0.5046707
1771,0.55438614
1778,0.7531291
1784,0.64840406
1790,0.4535782
1797,0.3052241
1798,0.7135968
1800,0.38811266
1802,0.6845875
1806,0.61246485
1819,0.09888815
1820,0.50459343
1821,0.22649954
1825,0.36768067
1829,0.3967256
1834,0.3558374
1840,0.4886177
1861,0.41204387
1880,0.24233136
1888,0.35922894
1901,0.61497307
1902,0.37657693
1911,0.54868597
1920,0.41872665
1926,0.47819316
1943,0.55664074
1949,0.2696732
1959,0.5443791
1970,0.16235821
1974,0.14002477
1978,0.3804572
1984,0.5403587
1997,0.3329241
2005,0.37318155
2007,0.6065608
2011,0.5029939
2012,0.4211608
2013,0.56653905
2024,0.16245572
2026,0.60457176
2029,0.54906803
2040,0.55717707
2042,0.18071619
2046,0.5111919
2052,0.2964592
2055,0.61661077
2062,0.13703743
2065,0.3241165
2089,0.3739122
2095,0.81068885
2100,0.19480887
2101,0.51857543
2102,0.41546857
2104,0.64322466
2108,0.32901573
2115,0.3463608
2124,0.5493283
2125,0.22321972
2128,0.34124467
2148,0.4402496
2153,0.36631823
2154,0.3306643
2162,0.40737444
2165,0.44607177
2169,0.3654087
