idx,y_pred
39,0.13613763
41,0.2201347
43,0.32048655
45,0.15109059
55,0.25812778
56,0.22253448
73,0.11807391
85,0.19037206
86,0.22846141
97,0.24706352
98,0.20866002
101,0.22915171
112,0.1215708
117,0.38325942
121,0.41304538
137,0.06590688
148,0.19831523
154,0.14169891
162,0.16306578
165,0.16516817
174,0.22394747
176,0.18934044
181,0.19975737
184,0.16159067
199,0.14076754
206,0.31823644
216,0.13236232
221,0.18705241
226,0.06097267
227,0.37520593
230,0.116167895
234,0.05299152
256,0.25035197
260,0.3454319
269,0.20084177
282,0.048074577
286,0.23901108
300,0.13410117
304,0.3011
310,0.21388501
318,0.12808448
319,0.16478303
322,0.253577
329,0.17484635
332,0.1063703
342,0.298524
364,0.1805331
377,0.08610638
385,0.1707493
388,0.10775449
397,0.095898405
398,0.06798607
403,0.29993498
405,0.26675668
408,0.058027014
410,0.37401068
413,0.08444681
417,0.17004415
420,0.22938566
422,0.15480609
423,0.108599186
426,0.16783069
432,0.22530572
436,0.29193425
443,0.108395524
454,0.16553745
455,0.082124
461,0.19325924
467,0.10051746
468,0.18496074
474,0.21347292
477,0.19943328
478,0.07082848
486,0.16507486
489,0.2767528
490,0.26146886
495,0.20205371
499,0.36306635
510,0.21374044
511,0.25097278
515,0.07946209
518,0.2904452
519,0.24530317
533,0.12860167
548,0.11149381
564,0.21805456
582,0.17864348
584,0.1845867
592,0.24553853
593,0.16439809
595,0.0562334
596,0.31946936
598,0.5597994
600,0.1754558
605,0.1327424
609,0.201366
611,0.14053807
613,0.2949147
623,0.16936989
626,0.11482598
627,0.38589624
631,0.2712342
644,0.23730929
652,0.21955748
662,0.14437547
666,0.109915756
668,0.38549984
672,0.08260831
674,0.21664937
675,0.018378766
677,0.21287084
679,0.06856381
682,0.32745856
691,0.266981
698,0.27411547
702,0.06609621
711,0.15497491
714,0.23184022
716,0.25862157
717,0.08285706
718,0.106820896
722,0.022433946
735,0.15767266
738,0.20855327
747,0.13367651
748,0.2153904
749,0.10281564
750,0.101321675
759,0.36642388
763,0.11966557
770,0.35785115
774,0.100769036
790,0.11412089
792,0.121675715
795,0.08118561
797,0.118544675
804,0.2184137
809,0.16869089
813,0.34248978
821,0.18223254
831,0.11983178
844,0.061086874
846,0.5623584
850,0.07742844
853,0.102191955
856,0.18571001
862,0.2664968
869,0.12831897
874,0.18786107
881,0.20462635
882,0.12925814
891,0.14065287
897,0.31168872
906,0.12920433
911,0.060424134
918,0.18009062
920,0.15447025
922,0.196611
